IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),text,AMR,Americas,Country,SLV,El Salvador,Year,2022,true,,,,,,,,,,,,,,,,,,,Encuesta Nacional de Alcohol y Tabaco (ENAT),,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,,,,,,,,,,,,,,,,,,,Enquête Santé et Lifestyle,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),text,AMR,Americas,Country,CHL,Chile,Year,2022,true,,,,,,,,,,,,,,,,,,,Estudio Nacional de Drogas en Población General de Chile,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,IRL,Ireland,Year,2022,true,,,,,,,,,,,,,,,,,,,Healthy Ireland Survey,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,DNK,Denmark,Year,2022,true,,,,,,,,,,,,,,,,,,,Monitorering af danskernes rygevaner [Monitoring smoking habits in the Danish population],,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,SWE,Sweden,Year,2022,true,,,,,,,,,,,,,,,,,,,Nationella folkhälsoenkäten (National Survey on Public Health),,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,ITA,Italy,Year,2022,true,,,,,,,,,,,,,,,,,,,Survey by DOXA/ISS,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),text,EMR,Eastern Mediterranean,Country,PSE,"occupied Palestinian territory, including east Jerusalem",Year,2022,true,,,,,,,,,,,,,,,,,,,TQS survey,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,RUS,Russian Federation,Year,2022,true,,,,,,,,,,,,,,,,,,,осстат. Состояние здоровья населения Selective monitoring of the health of the population survey (Rosstat),,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),text,AMR,Americas,Country,CHL,Chile,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,DNK,Denmark,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),text,AMR,Americas,Country,SLV,El Salvador,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,IRL,Ireland,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,ITA,Italy,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),text,EMR,Eastern Mediterranean,Country,PSE,"occupied Palestinian territory, including east Jerusalem",Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,RUS,Russian Federation,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,SWE,Sweden,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,IRL,Ireland,Year,2022,true,,,,,,,,,,,,,,,,,,,15+,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,ITA,Italy,Year,2022,true,,,,,,,,,,,,,,,,,,,15+,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,RUS,Russian Federation,Year,2022,true,,,,,,,,,,,,,,,,,,,15+,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,,,,,,,,,,,,,,,,,,,15+,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),text,AMR,Americas,Country,CHL,Chile,Year,2022,true,,,,,,,,,,,,,,,,15,,64,15-64,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,DNK,Denmark,Year,2022,true,,,,,,,,,,,,,,,,15,,79,15-79,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),text,EUR,Europe,Country,SWE,Sweden,Year,2022,true,,,,,,,,,,,,,,,,16,,84,16-84,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),text,AMR,Americas,Country,SLV,El Salvador,Year,2022,true,,,,,,,,,,,,,,,,,,,18+,,,EN,2023-12-06T23:00:00.000Z
Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),text,EMR,Eastern Mediterranean,Country,PSE,"occupied Palestinian territory, including east Jerusalem",Year,2022,true,,,,,,,,,,,,,,,,18,,69,18-69,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,EMR,Eastern Mediterranean,Country,PSE,"occupied Palestinian territory, including east Jerusalem",Year,2022,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.1,,,,,,0.1,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2022,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.1,,,,,,0.1,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2022,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.2,,,,,,0.2,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2022,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.3,,,,,,0.3,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2022,true,Sex,Male,SEX_MLE,,,,,,,,,,0.3,,,,,,0.3,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,Sex,Female,SEX_FMLE,,,,,,,,,,1.7,,,,,,1.7,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2022,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,14,,,,,,14,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2022,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,2,,,,,,2,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2022,true,Sex,Male,SEX_MLE,,,,,,,,,,22,,,,,,22,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2022,true,Sex,Male,SEX_MLE,,,,,,,,,,4,,,,,,4,,,EN,2023-12-06T23:00:00.000Z
Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,4.4,,,,,,4.4,,,EN,2023-12-06T23:00:00.000Z
