Region,Location,yr_law,yr_fb50,gap_years,product
Africa,Benin,2007,2022.0,15.0,cig
Africa,Burkina Faso,2007,2012.0,5.0,cig
Africa,Burundi,2018,2018.0,0.0,cig
Africa,Cabo Verde,2007,2022.0,15.0,cig
Africa,Cameroon,2007,2007.0,0.0,cig
Africa,Chad,2007,2010.0,3.0,cig
Africa,Cote d'Ivoire,2007,2022.0,15.0,cig
Africa,Democratic Republic of the Congo,2007,2018.0,11.0,cig
Africa,Eswatini,2014,2014.0,0.0,cig
Africa,Ethiopia,2014,2020.0,6.0,cig
Africa,Gabon,2007,2014.0,7.0,cig
Africa,Gambia,2010,2020.0,10.0,cig
Africa,Ghana,2007,2012.0,5.0,cig
Africa,Madagascar,2007,2010.0,3.0,cig
Africa,Mauritania,2018,2018.0,0.0,cig
Africa,Mauritius,2007,2008.0,1.0,cig
Africa,Namibia,2010,2014.0,4.0,cig
Africa,Niger,2007,2012.0,5.0,cig
Africa,Nigeria,2007,2016.0,9.0,cig
Africa,Senegal,2007,2016.0,9.0,cig
Africa,Seychelles,2010,2010.0,0.0,cig
Africa,Togo,2010,2010.0,0.0,cig
Africa,Uganda,2007,2016.0,9.0,cig
Americas,Antigua and Barbuda,2018,2018.0,0.0,cig
Americas,Argentina,2007,2012.0,5.0,cig
Americas,Barbados,2018,2018.0,0.0,cig
Americas,Bolivia (Plurinational State of),2007,2007.0,0.0,cig
Americas,Brazil,2007,2007.0,0.0,cig
Americas,Canada,2007,2007.0,0.0,cig
Americas,Chile,2007,2007.0,0.0,cig
Americas,Costa Rica,2007,2012.0,5.0,cig
Americas,Ecuador,2007,2012.0,5.0,cig
Americas,El Salvador,2007,2012.0,5.0,cig
Americas,Guyana,2007,2018.0,11.0,cig
Americas,Honduras,2007,2010.0,3.0,cig
Americas,Jamaica,2007,2014.0,7.0,cig
Americas,Mexico,2007,2008.0,1.0,cig
Americas,Nicaragua,2007,2010.0,3.0,cig
Americas,Panama,2007,2007.0,0.0,cig
Americas,Peru,2007,2010.0,3.0,cig
Americas,Saint Lucia,2018,2018.0,0.0,cig
Americas,Suriname,2014,2014.0,0.0,cig
Americas,Trinidad and Tobago,2007,2014.0,7.0,cig
Americas,Uruguay,2007,2007.0,0.0,cig
Americas,Venezuela (Bolivarian Republic of),2007,2007.0,0.0,cig
Eastern Mediterranean,Afghanistan,2016,2016.0,0.0,cig
Eastern Mediterranean,Bahrain,2010,2012.0,2.0,cig
Eastern Mediterranean,Djibouti,2007,2007.0,0.0,cig
Eastern Mediterranean,Egypt,2007,2007.0,0.0,cig
Eastern Mediterranean,Iran (Islamic Republic of),2007,2007.0,0.0,cig
Eastern Mediterranean,Kuwait,2007,2012.0,5.0,cig
Eastern Mediterranean,Oman,2007,2012.0,5.0,cig
Eastern Mediterranean,Pakistan,2007,2018.0,11.0,cig
Eastern Mediterranean,Qatar,2007,2012.0,5.0,cig
Eastern Mediterranean,Saudi Arabia,2007,2012.0,5.0,cig
Eastern Mediterranean,Sudan,2007,2022.0,15.0,cig
Eastern Mediterranean,Tunisia,2007,2022.0,15.0,cig
Eastern Mediterranean,United Arab Emirates,2007,2012.0,5.0,cig
Eastern Mediterranean,Yemen,2007,2012.0,5.0,cig
Europe,Albania,2007,2008.0,1.0,cig
Europe,Armenia,2007,2014.0,7.0,cig
Europe,Austria,2007,2016.0,9.0,cig
Europe,Belarus,2007,2014.0,7.0,cig
Europe,Belgium,2007,2016.0,9.0,cig
Europe,Bulgaria,2007,2016.0,9.0,cig
Europe,Croatia,2007,2018.0,11.0,cig
Europe,Cyprus,2007,2018.0,11.0,cig
Europe,Czechia,2007,2016.0,9.0,cig
Europe,Denmark,2007,2016.0,9.0,cig
Europe,Estonia,2007,2016.0,9.0,cig
Europe,Finland,2007,2016.0,9.0,cig
Europe,France,2007,2016.0,9.0,cig
Europe,Georgia,2007,2018.0,11.0,cig
Europe,Germany,2007,2016.0,9.0,cig
Europe,Greece,2007,2016.0,9.0,cig
Europe,Hungary,2007,2016.0,9.0,cig
Europe,Ireland,2007,2016.0,9.0,cig
Europe,Israel,2007,2020.0,13.0,cig
Europe,Italy,2007,2016.0,9.0,cig
Europe,Kazakhstan,2007,2014.0,7.0,cig
Europe,Kyrgyzstan,2007,2014.0,7.0,cig
Europe,Latvia,2007,2016.0,9.0,cig
Europe,Lithuania,2007,2016.0,9.0,cig
Europe,Luxembourg,2007,2018.0,11.0,cig
Europe,Malta,2007,2016.0,9.0,cig
Europe,Montenegro,2007,2020.0,13.0,cig
Europe,Netherlands (Kingdom of the),2007,2016.0,9.0,cig
Europe,Poland,2007,2016.0,9.0,cig
Europe,Portugal,2007,2016.0,9.0,cig
Europe,Republic of Moldova,2007,2016.0,9.0,cig
Europe,Romania,2007,2016.0,9.0,cig
Europe,Russian Federation,2007,2014.0,7.0,cig
Europe,Slovakia,2007,2016.0,9.0,cig
Europe,Slovenia,2007,2018.0,11.0,cig
Europe,Spain,2007,2018.0,11.0,cig
Europe,Sweden,2007,2016.0,9.0,cig
Europe,Tajikistan,2010,2018.0,8.0,cig
Europe,Turkmenistan,2007,2014.0,7.0,cig
Europe,Türkiye,2007,2012.0,5.0,cig
Europe,Ukraine,2007,2010.0,3.0,cig
Europe,United Kingdom of Great Britain and Northern Ireland,2007,2016.0,9.0,cig
South-East Asia,Bangladesh,2007,2014.0,7.0,cig
South-East Asia,India,2007,2016.0,9.0,cig
South-East Asia,Maldives,2007,2020.0,13.0,cig
South-East Asia,Myanmar,2007,2016.0,9.0,cig
South-East Asia,Nepal,2010,2012.0,2.0,cig
South-East Asia,Sri Lanka,2007,2012.0,5.0,cig
South-East Asia,Thailand,2007,2007.0,0.0,cig
South-East Asia,Timor-Leste,2007,2016.0,9.0,cig
Western Pacific,Australia,2007,2007.0,0.0,cig
Western Pacific,Brunei Darussalam,2007,2007.0,0.0,cig
Western Pacific,Cambodia,2010,2016.0,6.0,cig
Western Pacific,Cook Islands,2007,2008.0,1.0,cig
Western Pacific,Fiji,2007,2010.0,3.0,cig
Western Pacific,Japan,2007,2020.0,13.0,cig
Western Pacific,Kiribati,2014,2016.0,2.0,cig
Western Pacific,Lao People's Democratic Republic,2007,2016.0,9.0,cig
