Region,Location,Period,eachpkg_cig,eachpkg_osm,eachpkg_sml,fbpct_cig,fbpct_osm,fbpct_sml,law_cig,law_osm,law_sml,A_strict_cig,A_strict_osm,A_strict_sml,latest_year
Africa,Algeria,2022,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2022
Africa,Angola,2022,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2022
Africa,Benin,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Botswana,2022,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2022
Africa,Burkina Faso,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Burundi,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Cabo Verde,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Cameroon,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Central African Republic,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2022
Africa,Chad,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Comoros,2022,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2022
Africa,Congo,2022,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2022
Africa,Cote d'Ivoire,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Democratic Republic of the Congo,2022,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,2022
Africa,Equatorial Guinea,2022,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2022
Africa,Eritrea,2022,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2022
Africa,Eswatini,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Ethiopia,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Gabon,2022,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,2022
Africa,Gambia,2022,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,,1,1,0,2022
Africa,Ghana,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Guinea,2022,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2022
Africa,Guinea-Bissau,2022,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2022
Africa,Kenya,2022,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2022
Africa,Lesotho,2022,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2022
Africa,Liberia,2022,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2022
Africa,Madagascar,2022,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0,1,2022
Africa,Malawi,2022,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2022
Africa,Mali,2022,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2022
Africa,Mauritania,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Mauritius,2022,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,,1,1,0,2022
Africa,Mozambique,2022,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2022
Africa,Namibia,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2022
Africa,Niger,2022,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0,2022
