Region,Location,Period,font_spec,front_back_pct,graphic,principal_languages,rotation,smokeless_law,best_practice_cig
Africa,Algeria,2022,0.0,0.0,0.0,0.0,0.0,1.0,0
Africa,Angola,2022,,0.0,,,,0.0,0
Africa,Benin,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Botswana,2022,,0.0,,,,0.0,0
Africa,Burkina Faso,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Burundi,2022,0.0,1.0,0.0,1.0,0.0,1.0,0
Africa,Cabo Verde,2022,0.0,1.0,0.0,0.0,0.0,1.0,0
Africa,Cameroon,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Central African Republic,2022,0.0,0.0,0.0,0.0,0.0,1.0,0
Africa,Chad,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Comoros,2022,1.0,0.0,0.0,1.0,0.0,1.0,0
Africa,Congo,2022,0.0,0.0,0.0,1.0,1.0,1.0,0
Africa,Cote d'Ivoire,2022,0.0,1.0,0.0,1.0,1.0,1.0,0
Africa,Democratic Republic of the Congo,2022,0.0,1.0,0.0,0.0,1.0,1.0,0
Africa,Equatorial Guinea,2022,,0.0,,,,0.0,0
Africa,Eritrea,2022,0.0,0.0,0.0,0.0,0.0,1.0,0
Africa,Eswatini,2022,0.0,1.0,0.0,0.0,0.0,1.0,0
Africa,Ethiopia,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Gabon,2022,0.0,1.0,0.0,1.0,1.0,0.0,0
Africa,Gambia,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Ghana,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Guinea,2022,0.0,0.0,0.0,1.0,0.0,1.0,0
Africa,Guinea-Bissau,2022,,0.0,,,,0.0,0
Africa,Kenya,2022,1.0,0.0,1.0,1.0,1.0,1.0,0
Africa,Lesotho,2022,,0.0,,,,0.0,0
Africa,Liberia,2022,,0.0,,,,0.0,0
Africa,Madagascar,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Malawi,2022,,0.0,,,,0.0,0
Africa,Mali,2022,1.0,0.0,0.0,1.0,0.0,1.0,0
Africa,Mauritania,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Mauritius,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Mozambique,2022,0.0,0.0,0.0,1.0,0.0,1.0,0
Africa,Namibia,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Niger,2022,1.0,1.0,1.0,1.0,1.0,0.0,1
Africa,Nigeria,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Rwanda,2022,0.0,0.0,0.0,1.0,0.0,1.0,0
Africa,Sao Tome and Principe,2022,0.0,0.0,0.0,0.0,0.0,1.0,0
Africa,Senegal,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Seychelles,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,Sierra Leone,2022,,0.0,,,,0.0,0
Africa,South Africa,2022,1.0,0.0,0.0,1.0,1.0,1.0,0
Africa,South Sudan,2022,,0.0,,,,0.0,0
Africa,Togo,2022,1.0,1.0,0.0,1.0,1.0,1.0,0
Africa,Uganda,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Africa,United Republic of Tanzania,2022,0.0,0.0,0.0,1.0,1.0,1.0,0
Africa,Zambia,2022,0.0,0.0,0.0,0.0,0.0,1.0,0
Africa,Zimbabwe,2022,0.0,0.0,0.0,0.0,0.0,1.0,0
Americas,Antigua and Barbuda,2022,1.0,1.0,0.0,1.0,1.0,1.0,0
Americas,Argentina,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Americas,Bahamas,2022,0.0,0.0,0.0,0.0,0.0,0.0,0
Americas,Barbados,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Americas,Belize,2022,1.0,0.0,0.0,1.0,0.0,0.0,0
Americas,Bolivia (Plurinational State of),2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Americas,Brazil,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Americas,Canada,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Americas,Chile,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Americas,Colombia,2022,1.0,0.0,1.0,1.0,1.0,1.0,0
Americas,Costa Rica,2022,1.0,1.0,1.0,1.0,1.0,1.0,1
Americas,Cuba,2022,1.0,0.0,0.0,1.0,1.0,1.0,0
Americas,Dominica,2022,,0.0,,,,0.0,0
Americas,Dominican Republic,2022,1.0,0.0,0.0,1.0,0.0,1.0,0
