IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0,,,0,,0,0 [0-0],,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.1,,,0,,0.2,0.1 [0-0.2],,The most recent survey was conducted in 2020. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,AFR,Africa,Country,GHA,Ghana,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.2,,,0.1,,0.3,0.2 [0.1-0.3],,The most recent survey was conducted in 2017-18. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.2,,,0.1,,0.4,0.2 [0.1-0.4],,The most recent survey was conducted in 2018. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.3,,,0.1,,0.4,0.3 [0.1-0.4],,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2016-17. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,AFR,Africa,Country,GMB,Gambia,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.3,,,0.1,,0.5,0.3 [0.1-0.5],,The most recent survey was conducted in 2018. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.4,,,0.1,,0.6,0.4 [0.1-0.6],,The most recent survey was conducted in 2019. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.4,,,0.2,,0.5,0.4 [0.2-0.5],,The most recent survey was conducted in 2017. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.4,,,0.2,,0.6,0.4 [0.2-0.6],,The most recent survey was conducted in 2019. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,AFR,Africa,Country,MLI,Mali,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.4,,,0.2,,0.6,0.4 [0.2-0.6],,The most recent survey was conducted in 2018. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.4,,,0.2,,0.7,0.4 [0.2-0.7],,The most recent survey was conducted in 2017. This is a projection.,EN,2024-01-15T23:00:00.000Z
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2030,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.4,,,0.2,,0.7,0.4 [0.2-0.7],,The most recent survey was conducted in 2018. This is a projection.,EN,2024-01-15T23:00:00.000Z
