IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
Youth_survey_title,Title of most recent adolescent survey,text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2022,true,,,,,,,,,,,,,,,,,,,Global Youth Tobacco Survey,,,EN,2023-12-06T23:00:00.000Z
Youth_survey_title,Title of most recent adolescent survey,text,WPR,Western Pacific,Country,PLW,Palau,Year,2022,true,,,,,,,,,,,,,,,,,,,Global Youth Tobacco Survey,,,EN,2023-12-06T23:00:00.000Z
Youth_survey_title,Title of most recent adolescent survey,text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2022,true,,,,,,,,,,,,,,,,,,,Global Youth Tobacco Survey,,,EN,2023-12-06T23:00:00.000Z
Youth_survey_title,Title of most recent adolescent survey,text,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,,,,,,,,,,,,,,,,,,,Health Behaviour in School-aged Children,,,EN,2023-12-06T23:00:00.000Z
Youth_survey_title,Title of most recent adolescent survey,text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,,,,,,,,,,,,,,,,,,,Korea Youth Risk Behavior Web-based Survey,,,EN,2023-12-06T23:00:00.000Z
Youth_survey_title,Title of most recent adolescent survey,text,EUR,Europe,Country,SWE,Sweden,Year,2022,true,,,,,,,,,,,,,,,,,,,The Swedish Council for Information on Alcohol and Other Drugs; CAN:s nationella skolundersökning,,,EN,2023-12-06T23:00:00.000Z
Youth_survey_title,Title of most recent adolescent survey,text,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2022,true,,,,,,,,,,,,,,,,,,,Viet Nam Youth Tobacco Survey,,,EN,2023-12-06T23:00:00.000Z
Youth_svy_national,Representativeness of most recent adolescent survey,text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Youth_svy_national,Representativeness of most recent adolescent survey,text,WPR,Western Pacific,Country,PLW,Palau,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Youth_svy_national,Representativeness of most recent adolescent survey,text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Youth_svy_national,Representativeness of most recent adolescent survey,text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Youth_svy_national,Representativeness of most recent adolescent survey,text,EUR,Europe,Country,SWE,Sweden,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Youth_svy_national,Representativeness of most recent adolescent survey,text,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Youth_svy_national,Representativeness of most recent adolescent survey,text,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-06T23:00:00.000Z
Youth_svy_age_range,Age range of most recent adolescent survey,text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2022,true,,,,,,,,,,,,,,,,13,,15,13-15,,,EN,2023-12-06T23:00:00.000Z
