ISO3,Country,Region,education,government,health_care,offices,other_indoor,public_transport,pubs_bars,restaurants,education_year,government_year,health_care_year,offices_year,other_indoor_year,public_transport_year,pubs_bars_year,restaurants_year,coverage_total
AFG,Afghanistan,Eastern Mediterranean Region,1,1,1,1,0,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,7
AGO,Angola,,1,1,1,0,0,1,0,0,2022,2022,2022,2022,2020,2022,2022,2022,4
ALB,Albania,European Region,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
AND,Andorra,European Region,1,1,1,0,0,1,0,0,2022,2022,2022,2022,2020,2022,2022,2022,4
ARE,United Arab Emirates,Eastern Mediterranean Region,1,0,1,0,0,1,0,0,2022,2022,2022,2022,2020,2022,2022,2022,3
ARG,Argentina,Region of the Americas,1,1,1,1,0,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,7
ARM,Armenia,European Region,1,1,1,1,0,0,1,1,2022,2022,2022,2022,2020,2022,2022,2022,6
ATG,Antigua and Barbuda,,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
AUS,Australia,Western Pacific Region,0,1,1,1,0,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,6
AUT,Austria,European Region,1,0,0,0,0,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,4
AZE,Azerbaijan,European Region,1,0,1,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,2
BDI,Burundi,African Region,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
BEL,Belgium,European Region,1,0,0,0,0,1,0,0,2022,2022,2022,2022,2020,2022,2022,2022,2
BEN,Benin,African Region,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
BFA,Burkina Faso,African Region,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
BGD,Bangladesh,South-East Asia Region,1,0,1,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,2
BGR,Bulgaria,European Region,1,1,1,1,0,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,7
BHR,Bahrain,Eastern Mediterranean Region,0,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,0
BHS,Bahamas,Region of the Americas,0,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,0
BIH,Bosnia and Herzegovina,European Region,0,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,0
BLR,Belarus,European Region,1,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,1
BLZ,Belize,Region of the Americas,0,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,0
BOL,Bolivia (Plurinational State of),Region of the Americas,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
BRA,Brazil,Region of the Americas,1,1,1,1,0,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,7
BRB,Barbados,Region of the Americas,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
BRN,Brunei Darussalam,Western Pacific Region,1,1,1,1,0,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,7
BTN,Bhutan,South-East Asia Region,0,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,0
BWA,Botswana,African Region,0,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,0
CAF,Central African Republic,,0,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,0
CAN,Canada,Region of the Americas,1,1,1,0,0,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,6
CHE,Switzerland,European Region,0,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,0
CHL,Chile,Region of the Americas,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
CHN,China,Western Pacific Region,1,0,0,0,0,1,0,0,2022,2022,2022,2022,2020,2022,2022,2022,2
CIV,Cote d'Ivoire,African Region,0,0,0,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,0
CMR,Cameroon,African Region,1,0,1,0,0,0,0,0,2022,2022,2022,2022,2020,2022,2022,2022,2
COD,Democratic Republic of the Congo,African Region,1,0,1,0,0,1,0,0,2022,2022,2022,2022,2020,2022,2022,2022,3
COG,Congo,African Region,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
COK,Cook Islands,Western Pacific Region,1,1,1,0,0,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,6
COL,Colombia,Region of the Americas,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
COM,Comoros,African Region,1,1,1,0,0,1,0,0,2022,2022,2022,2022,2020,2022,2022,2022,4
CPV,Cabo Verde,African Region,1,1,1,0,0,1,0,0,2022,2022,2022,2022,2020,2022,2022,2022,4
CRI,Costa Rica,Region of the Americas,1,1,1,1,1,1,1,1,2022,2022,2022,2022,2020,2022,2022,2022,8
CUB,Cuba,Region of the Americas,1,0,1,0,0,1,0,0,2022,2022,2022,2022,2020,2022,2022,2022,3
