IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,BHS,Bahamas,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,BRB,Barbados,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,CUB,Cuba,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,ERI,Eritrea,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,GIN,Guinea,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,GUY,Guyana,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,HTI,Haiti,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,MCO,Monaco,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,WPR,Western Pacific,Country,NIU,Niue,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,SMR,San Marino,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,ALB,Albania,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,DZA,Algeria,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,AGO,Angola,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,ARG,Argentina,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,ARM,Armenia,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,WPR,Western Pacific,Country,AUS,Australia,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,AUT,Austria,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,AZE,Azerbaijan,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,BLR,Belarus,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,BEL,Belgium,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,BLZ,Belize,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,BEN,Benin,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,BWA,Botswana,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,BRA,Brazil,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,BGR,Bulgaria,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,BFA,Burkina Faso,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,BDI,Burundi,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,CPV,Cabo Verde,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,CMR,Cameroon,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,CAN,Canada,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,CAF,Central African Republic,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,TCD,Chad,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,CHL,Chile,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,WPR,Western Pacific,Country,CHN,China,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,COM,Comoros,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,COG,Congo,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,WPR,Western Pacific,Country,COK,Cook Islands,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,CRI,Costa Rica,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,HRV,Croatia,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,CYP,Cyprus,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,CZE,Czechia,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,EUR,Europe,Country,DNK,Denmark,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,DMA,Dominica,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,DOM,Dominican Republic,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
R_admin_duty_free_banned,Tobacco tax administration: Sales of duty (or excise) free cigarettes banned,text,AMR,Americas,Country,ECU,Ecuador,Year,2022,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-12-14T23:00:00.000Z
