IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,ERI,Eritrea,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,GIN,Guinea,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2022,true,Tobacco and nicotine product,Most sold brand of heated tobacco products (20 sticks),TOBACCO_NICOTINE_PRODUCT_TOBACCO_HEATED_HTP_MOSTSOLD,,,,,,,,,,,,,,,,,,An excise tax is applied on HTPs but the calculation was not possible for inclusion in this table.,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EUR,Europe,Country,MCO,Monaco,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,WPR,Western Pacific,Country,NIU,Niue,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,CUB,Cuba,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,The new VAT law adopted in 2021 abolished all other taxes but imposes a higher VAT rate on tobacco products compared to other goods and services.,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,WPR,Western Pacific,Country,NRU,Nauru,Year,2022,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of a closed disposable ENDS/ENNDS system (1ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_DISPOSABLE_CHEAPEST,,,,,,,,,,0,,,,,,0,,Estimates not validated by the country.,EN,2024-01-04T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of a closed rechargeable ENDS/ENNDS system (1ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_RECHARGABLE_CHEAPEST,,,,,,,,,,0,,,,,,0,,Estimates not validated by the country.,EN,2024-01-04T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,0,,,,,,0,,Estimates not validated by the country.,EN,2024-01-04T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,AGO,Angola,Year,2022,true,,,,,,,,,,,,,1.62,,,,,,1.62,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,PRY,Paraguay,Year,2022,true,,,,,,,,,,,,,10.1,,,,,,10.1,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,CAN,Canada,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of a closed disposable ENDS/ENNDS system (1ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_DISPOSABLE_CHEAPEST,,,,,,,,,,10.52,,,,,,10.52,,Prices and taxes collected and calculated as at December 2021.,EN,2024-01-04T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2022,true,,,,,,,,,,,,,10.69,,,,,,10.69,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,GUY,Guyana,Year,2022,true,,,,,,,,,,,,,10.87,,,,,,10.87,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,GHA,Ghana,Year,2022,true,,,,,,,,,,,,,11.95,,,,,,11.95,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2022,true,,,,,,,,,,,,,12.46,,,,,,12.46,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,CMR,Cameroon,Year,2022,true,,,,,,,,,,,,,14.29,,,,,,14.29,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2022,true,,,,,,,,,,,,,14.71,,,,,,14.71,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2022,true,,,,,,,,,,,,,14.71,,,,,,14.71,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,HND,Honduras,Year,2022,true,,,,,,,,,,,,,15.4,,,,,,15.4,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,CAN,Canada,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of a closed rechargeable ENDS/ENNDS system (1ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_RECHARGABLE_CHEAPEST,,,,,,,,,,15.43,,,,,,15.43,,Prices and taxes collected and calculated as at December 2021.,EN,2024-01-04T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2022,true,,,,,,,,,,,,,16.44,,,,,,16.44,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2022,true,,,,,,,,,,,,,16.46,,,,,,16.46,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,HTI,Haiti,Year,2022,true,,,,,,,,,,,,,17.22,,,,,,17.22,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2022,true,,,,,,,,,,,,,17.23,,,,,,17.23,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2022,true,,,,,,,,,,,,,18.27,,,,,,18.27,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,NER,Niger,Year,2022,true,,,,,,,,,,,,,18.79,,,,,,18.79,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,true,,,,,,,,,,,,,19.13,,,,,,19.13,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,DZA,Algeria,Year,2022,true,,,,,,,,,,,,,19.31,,,,,,19.31,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,GAB,Gabon,Year,2022,true,,,,,,,,,,,,,19.71,,,,,,19.71,,,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2022,true,,,,,,,,,,,,,19.96,,,,,,19.96,,Prices and taxes collected and calculated as at February 2023.,EN,2023-12-14T23:00:00.000Z
R_excise_proportion,Tax structure: Excise tax proportion of price,numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2022,true,,,,,,,,,,,,,2.93,,,,,,2.93,,,EN,2023-12-14T23:00:00.000Z
