iso3,quitline_year,quitline_score,primary_care_year,primary_care_score,hospitals_year,hospitals_score,community_year,community_score,other_settings_year,other_settings_score,nrt_year,nrt_score,bupropion_year,bupropion_score,varenicline_year,varenicline_score,cytisine_year,cytisine_score,country,region,available_n,sum_scores,O_index_raw,O_index_norm,latest_year_max
CAN,1,1.0,1,1.0,1,1.0,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,Canada,Americas,9,8.0,8.0,8.0,1
THA,1,1.0,1,1.0,1,1.0,1,1.0,1,0.5,1,1.0,1,1.0,1,1.0,1,0.0,Thailand,South-East Asia,9,7.5,7.5,7.5,1
SWE,1,1.0,1,1.0,1,1.0,1,0.0,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,Sweden,Europe,9,7.5,7.5,7.5,1
NZL,1,1.0,1,1.0,1,1.0,1,1.0,1,0.5,1,1.0,1,1.0,1,1.0,1,0.0,New Zealand,Western Pacific,9,7.5,7.5,7.5,1
SAU,1,1.0,1,1.0,1,0.5,1,1.0,1,0.5,1,1.0,1,1.0,1,1.0,1,0.0,Saudi Arabia,Eastern Mediterranean,9,7.0,7.0,7.0,1
NLD,1,1.0,1,1.0,1,1.0,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,0.0,Netherlands (Kingdom of the),Europe,9,7.0,7.0,7.0,1
ESP,1,1.0,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,Spain,Europe,9,7.0,7.0,7.0,1
ITA,1,1.0,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,Italy,Europe,9,7.0,7.0,7.0,1
JAM,1,1.0,1,1.0,1,1.0,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,0.0,Jamaica,Americas,9,7.0,7.0,7.0,1
DEU,1,1.0,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,Germany,Europe,9,7.0,7.0,7.0,1
FIN,1,1.0,1,1.0,1,1.0,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,0.0,Finland,Europe,9,7.0,7.0,7.0,1
CIV,1,1.0,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,Cote d'Ivoire,Africa,9,7.0,7.0,7.0,1
ISR,1,1.0,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,,Israel,Europe,8,6.0,6.0,6.75,1
KOR,1,1.0,1,0.5,1,0.5,1,,1,1.0,1,1.0,1,1.0,1,1.0,1,0.0,Republic of Korea,Western Pacific,8,6.0,6.0,6.75,1
ROU,1,1.0,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,,Romania,Europe,8,6.0,6.0,6.75,1
