indicator,iso3,year,value,low,high,dim1,dim1_type,who_region,who_region_code,spatial_type,Date
HIV_0000000026,MHL,2007,,,,,,Western Pacific,WPR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,IDN,2015,41000.0,37000.0,45000.0,,,South-East Asia,SEAR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,UZB,2022,,,,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,MDV,2021,100.0,100.0,100.0,,,South-East Asia,SEAR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,MDA,2007,2200.0,1500.0,3000.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,PER,2016,6200.0,5100.0,7500.0,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,POL,2002,,,,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,BIH,2005,,,,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,VCT,2000,,,,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,EGY,2010,2400.0,1800.0,3400.0,,,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,KEN,2016,32000.0,21000.0,50000.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,LCA,2012,100.0,100.0,100.0,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,BTN,2008,100.0,100.0,100.0,,,South-East Asia,SEAR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,AZE,2016,540.0,500.0,670.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,ITA,2010,4500.0,3500.0,5200.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,PAK,2012,,,,,,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,FRA,2021,3300.0,2600.0,3700.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,GAB,2018,2500.0,1600.0,3900.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,NIC,2006,,,,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,VCT,2008,,,,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,NIC,2017,,,,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,BWA,2024,4200.0,3300.0,5200.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,CHE,2012,500.0,500.0,500.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,HND,2023,500.0,500.0,610.0,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,DEU,2004,,,,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,QAT,2007,100.0,100.0,100.0,,,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,SYR,2015,100.0,100.0,100.0,,,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,AUS,2020,660.0,500.0,880.0,,,Western Pacific,WPR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,TZA,2023,54000.0,42000.0,74000.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,ZWE,2024,15000.0,12000.0,20000.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,LTU,2003,200.0,200.0,500.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,BOL,2006,2100.0,1700.0,2600.0,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,BGR,2010,200.0,200.0,500.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,CMR,2018,20000.0,16000.0,27000.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,GBR,2018,2500.0,2000.0,3000.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,ISR,2000,,,,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,JPN,2004,,,,,,Western Pacific,WPR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,PRK,2009,,,,,,South-East Asia,SEAR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,FSM,2000,,,,,,Western Pacific,WPR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,GTM,2009,1100.0,730.0,1500.0,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,LTU,2000,200.0,200.0,200.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,FIN,2024,,,,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,MKD,2002,100.0,100.0,100.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,BWA,2012,13000.0,11000.0,14000.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,CUB,2005,2100.0,1700.0,2400.0,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,YEM,2024,1600.0,1400.0,2000.0,,,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,ECU,2015,2300.0,1900.0,2900.0,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,TGO,2014,3900.0,2600.0,5300.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,PRK,2005,,,,,,South-East Asia,SEAR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,ISL,2018,100.0,100.0,100.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,CPV,2011,200.0,200.0,500.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,AND,2016,,,,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,BLR,2024,,,,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,NLD,2019,500.0,200.0,500.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,GTM,2011,840.0,520.0,1300.0,,,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,PAK,2007,,,,,,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,QAT,2005,100.0,100.0,100.0,,,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,CHN,2017,,,,,,Western Pacific,WPR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,MAR,2021,1200.0,950.0,1400.0,,,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,SDN,2016,3600.0,2600.0,5200.0,,,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,ISR,2020,,,,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,UGA,2012,84000.0,75000.0,98000.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,LUX,2010,100.0,100.0,100.0,,,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,NGA,2013,120000.0,100000.0,150000.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,NER,2020,1400.0,1100.0,1800.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,THA,2012,16000.0,15000.0,18000.0,,,South-East Asia,SEAR,COUNTRY,2025-07-11T10:26:56.027+02:00
HIV_0000000026,TGO,2000,12000.0,9500.0,15000.0,,,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
