indicator,iso3,year,value,low,high,dim1,dim1_type,who_region,who_region_code,spatial_type,Date
MALARIA_EST_DEATHS,RWA,2010,3002.0,2915.0,3095.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,CAF,2018,4035.0,3444.0,4743.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,MWI,2011,10264.0,9735.0,10847.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,PNG,2009,3378.0,1008.0,7146.025,,,Western Pacific,WPR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,GNQ,2011,614.0,553.0,689.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,SLE,2021,8464.0,6023.95,11681.05,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,GUY,2021,27.0,13.0,42.0,,,Americas,AMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,VNM,2005,37.0,18.0,57.0,,,Western Pacific,WPR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,GNB,2011,868.0,790.0,966.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,CAF,2000,4050.0,3727.0,4443.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,COL,2013,10.0,10.0,10.0,,,Americas,AMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,PHL,2014,30.0,13.0,53.0,,,Western Pacific,WPR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,ERI,2004,32.0,10.975,70.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,CAF,2019,4001.0,3373.0,4753.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,ARE,2014,0.0,0.0,0.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,BOL,2014,4.0,1.0,8.0,,,Americas,AMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,PAK,2022,3051.0,1538.975,5062.025,,,Eastern Mediterranean,EMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,BFA,2007,33345.0,30890.975,36037.023,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,ARE,2017,0.0,0.0,0.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,BGD,2009,187.0,86.0,304.0,,,South-East Asia,SEAR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,ZAF,2003,142.0,142.0,142.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,ZWE,2003,2529.0,464.975,7382.025,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,TKM,2014,0.0,0.0,0.0,,,Europe,EUR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,TUR,2002,0.0,0.0,0.0,,,Europe,EUR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,PAK,2017,641.0,314.0,1150.05,,,Eastern Mediterranean,EMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,GNQ,2003,523.0,490.0,567.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,IRQ,2021,0.0,0.0,0.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,ZMB,2009,6296.0,6096.0,6527.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,IRN,2007,3.0,3.0,3.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,SUR,2000,24.0,24.0,24.0,,,Americas,AMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,HTI,2022,67.0,26.0,124.0,,,Americas,AMR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_EST_DEATHS,GNQ,2018,752.0,638.0,930.0,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
