indicator,iso3,year,value,low,high,dim1,dim1_type,who_region,who_region_code,spatial_type,Date
MALARIA_IPTP3_COVERAGE,KEN,2020,18.700003,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,TCD,2019,27.987278,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,BEN,2019,31.197428,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,MWI,2018,36.873833,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,BFA,2019,37.486748,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,GNB,2023,38.45451,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,GAB,2020,16.472841,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,MDG,2017,10.638213,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,BFA,2020,52.591503,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,SLE,2018,45.714397,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,MLI,2020,29.978737,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,LBR,2015,0.0,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,ZWE,2020,18.396706,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,SLE,2015,0.0,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,BFA,2021,67.05107,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,COG,2017,5.171694,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,AGO,2015,13.027268,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,SLE,2017,10.528175,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,SEN,2017,42.88742,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,TCD,2022,28.738346,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,KEN,2018,26.10381,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,MOZ,2020,47.126423,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_IPTP3_COVERAGE,GNB,2015,0.0,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
