indicator,iso3,year,value,low,high,dim1,dim1_type,who_region,who_region_code,spatial_type,Date
MALARIA_ITN_COVERAGE,ZMB,2017,71.8169,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,MOZ,2022,49.903526,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,RWA,2019,38.57604,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,SLE,2015,66.86164,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,RWA,2017,68.779495,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,GNB,2016,31.050499,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,TGO,2021,54.953495,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,ZWE,2018,41.579052,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,BEN,2015,64.53528,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,KEN,2017,68.560326,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,BFA,2020,36.140354,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,AGO,2016,22.980555,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,GHA,2019,77.136154,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,LBR,2018,48.907085,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,SLE,2018,70.043846,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,GIN,2021,50.025494,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,COG,2018,30.828127,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,TZA,2020,64.32448,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
MALARIA_ITN_COVERAGE,AGO,2021,11.423306,,,,,Africa,AFR,COUNTRY,2024-12-10T17:44:48.22+01:00
