indicator,iso3,year,value,low,high,dim1,dim1_type,who_region,who_region_code,spatial_type,Date
SDGHIV,NGA,2020,0.45,0.36,0.58,SEX_FMLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,MLI,2002,0.97,0.83,1.2,SEX_FMLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,SLV,1998,0.43,0.38,0.47,SEX_BTSX,SEX,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,UGA,1990,7.4,6.6,8.5,SEX_BTSX,SEX,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,GTM,2009,0.1,0.1,0.11,SEX_BTSX,SEX,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,TKM,1995,,,,SEX_FMLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,SGP,1992,0.1,0.1,0.1,SEX_MLE,SEX,Western Pacific,WPR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,SYR,2009,0.01,0.01,0.01,SEX_MLE,SEX,Eastern Mediterranean,EMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,MKD,2000,0.01,0.01,0.01,SEX_FMLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,UKR,2014,,,,SEX_BTSX,SEX,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,PAN,1997,0.57,0.49,0.65,SEX_MLE,SEX,Americas,AMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,MYS,1990,0.1,0.1,0.1,SEX_FMLE,SEX,Western Pacific,WPR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,SAU,2016,0.01,0.01,0.01,SEX_FMLE,SEX,Eastern Mediterranean,EMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,FIN,1996,,,,SEX_MLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,TKM,1992,,,,SEX_FMLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,KEN,1993,13.1,8.3,20.5,SEX_FMLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,ZMB,2012,5.0,4.5,5.6,SEX_BTSX,SEX,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,NAM,2021,1.3,1.0,1.8,SEX_MLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,GIN,2007,1.1,0.9,1.3,SEX_BTSX,SEX,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,BTN,2011,0.1,0.1,0.1,SEX_FMLE,SEX,South-East Asia,SEAR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,COD,2007,0.77,0.64,0.97,SEX_FMLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,JAM,2024,0.34,0.26,0.44,SEX_FMLE,SEX,Americas,AMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,NOR,2006,,,,SEX_FMLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,SVK,1992,0.01,0.01,0.01,SEX_FMLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,MAR,2005,0.1,0.1,0.1,SEX_BTSX,SEX,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,AGO,2018,1.1,0.96,1.4,SEX_FMLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,BGD,2017,0.01,0.01,0.01,SEX_FMLE,SEX,South-East Asia,SEAR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,HTI,1991,2.3,1.8,3.1,SEX_MLE,SEX,Americas,AMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,LBY,2002,0.1,0.1,0.1,SEX_BTSX,SEX,Eastern Mediterranean,EMR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,SWE,2007,,,,SEX_FMLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,KNA,2005,0.27,0.24,0.3,SEX_BTSX,SEX,Americas,AMR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,CAN,1993,0.14,0.11,0.17,SEX_MLE,SEX,Americas,AMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,MCO,2006,,,,SEX_MLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,ARE,1999,0.01,0.01,0.01,SEX_MLE,SEX,Eastern Mediterranean,EMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,JPN,2016,,,,SEX_BTSX,SEX,Western Pacific,WPR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,AZE,2001,0.2,0.15,0.29,SEX_MLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,GNQ,2003,,,,SEX_FMLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,BRA,1993,,,,SEX_FMLE,SEX,Americas,AMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,SMR,2022,,,,SEX_BTSX,SEX,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,MKD,2021,0.01,0.01,0.01,SEX_FMLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,LKA,1992,0.01,0.01,0.01,SEX_MLE,SEX,South-East Asia,SEAR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,CPV,2014,0.45,0.37,0.6,SEX_MLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,MHL,2018,,,,SEX_BTSX,SEX,Western Pacific,WPR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,TUN,2002,0.1,0.1,0.1,SEX_FMLE,SEX,Eastern Mediterranean,EMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,SSD,2016,1.2,1.0,1.6,SEX_FMLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,SWZ,2008,16.2,14.6,18.1,SEX_MLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,IRL,2000,0.1,0.1,0.1,SEX_FMLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,RUS,2004,,,,SEX_FMLE,SEX,Europe,EUR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,TJK,2022,0.1,0.1,0.1,SEX_BTSX,SEX,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,MWI,1993,14.2,13.5,15.3,SEX_BTSX,SEX,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,TZA,2007,1.9,1.7,2.3,SEX_MLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,SLV,2017,0.1,0.1,0.1,SEX_FMLE,SEX,Americas,AMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,MKD,2009,0.1,0.1,0.1,SEX_BTSX,SEX,Europe,EUR,COUNTRY,2025-07-11T10:26:56.027+02:00
SDGHIV,ATG,2002,,,,SEX_MLE,SEX,Americas,AMR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,TCD,1990,1.8,1.1,2.8,SEX_FMLE,SEX,Africa,AFR,COUNTRY,2025-07-17T09:52:45.3+02:00
SDGHIV,BFA,2019,0.14,0.1,0.2,SEX_BTSX,SEX,Africa,AFR,COUNTRY,2025-07-11T10:26:56.027+02:00
