indicator,iso3,year,value,low,high,dim1,dim1_type,who_region,who_region_code,spatial_type,Date
TB_1,BDI,2000,34.0,15.0,150.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,CHL,2010,87.0,75.0,100.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,NGA,2006,22.0,15.0,33.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,PER,2011,80.0,61.0,110.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,HRV,2004,87.0,75.0,100.0,,,Europe,EUR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,SLV,2008,80.0,63.0,100.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,SVN,2004,87.0,75.0,100.0,,,Europe,EUR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,SLE,2019,78.0,54.0,120.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,ITA,2013,87.0,75.0,100.0,,,Europe,EUR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,PRI,2007,87.0,75.0,100.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,CUB,2020,81.0,70.0,95.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,KWT,2010,87.0,75.0,100.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,MLT,2018,87.0,75.0,100.0,,,Europe,EUR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,SWZ,2006,57.0,18.0,990.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,AFG,2014,51.0,36.0,79.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,BDI,2001,36.0,16.0,140.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,ALB,2020,54.0,45.0,62.0,,,Europe,EUR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,BOL,2006,62.0,38.0,120.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,NPL,2014,46.0,30.0,80.0,,,South-East Asia,SEAR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,BDI,2005,45.0,24.0,110.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,QAT,2012,87.0,75.0,100.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,PRK,2006,35.0,31.0,41.0,,,South-East Asia,SEAR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,GBR,2007,89.0,81.0,98.0,,,Europe,EUR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,BFA,2021,70.0,48.0,110.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,BLZ,2019,88.0,76.0,100.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,CMR,2009,48.0,28.0,96.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,GRD,2003,83.0,75.0,93.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,GIN,2010,57.0,39.0,91.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,LAO,2022,82.0,56.0,130.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,GNB,2000,34.0,25.0,48.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,BLZ,2010,88.0,67.0,120.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,LBR,2001,24.0,18.0,33.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,DOM,2013,79.0,58.0,110.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,MYS,2008,86.0,77.0,97.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,NLD,2001,87.0,75.0,100.0,,,Europe,EUR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,NIC,2011,81.0,60.0,120.0,,,Americas,AMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,SEN,2009,67.0,48.0,100.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,ERI,2018,66.0,37.0,150.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,CHN,2012,88.0,74.0,110.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,AFG,2020,64.0,45.0,99.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,SWZ,2016,58.0,34.0,120.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,MMR,2001,17.0,8.5,48.0,,,South-East Asia,SEAR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,AUS,2005,87.0,75.0,100.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,GBR,2012,89.0,81.0,98.0,,,Europe,EUR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,FRA,2003,83.0,73.0,94.0,,,Europe,EUR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,KEN,2011,45.0,23.0,130.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,GNB,2008,39.0,28.0,61.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
TB_1,STP,2020,37.0,19.0,95.0,,,Africa,AFR,COUNTRY,2024-10-28T17:09:55.467+01:00
