indicator,iso3,year,value,low,high,dim1,dim1_type,who_region,who_region_code,spatial_type,Date
TB_e_inc_num,LVA,2006,1500.0,1300.0,1700.0,,,Europe,EUR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,LSO,2013,19000.0,9400.0,33000.0,,,Africa,AFR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,DZA,2019,26000.0,20000.0,33000.0,,,Africa,AFR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,OMN,2010,350.0,300.0,410.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,BHR,2015,200.0,180.0,240.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,CUB,2022,720.0,600.0,860.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,ATG,2019,0.0,0.0,0.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,IRN,2005,12000.0,8400.0,16000.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,NPL,2019,68000.0,40000.0,102000.0,,,South-East Asia,SEAR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,BHS,2013,38.0,32.0,44.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,TLS,2007,5000.0,3200.0,7200.0,,,South-East Asia,SEAR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,MHL,2004,150.0,110.0,190.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,ZWE,2020,29000.0,21000.0,39000.0,,,Africa,AFR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,KAZ,2013,19000.0,9100.0,32000.0,,,Europe,EUR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,KWT,2004,640.0,550.0,740.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,PRK,2016,132000.0,115000.0,150000.0,,,South-East Asia,SEAR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,NZL,2016,340.0,290.0,390.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,BEL,2022,900.0,770.0,1000.0,,,Europe,EUR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,SUR,2006,170.0,120.0,220.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,AUT,2015,650.0,550.0,750.0,,,Europe,EUR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,BLZ,2001,150.0,100.0,210.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,VNM,2009,206000.0,103000.0,344000.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,JOR,2016,540.0,420.0,690.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,PHL,2018,607000.0,340000.0,948000.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,MDV,2002,150.0,100.0,220.0,,,South-East Asia,SEAR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,SWZ,2020,4100.0,2300.0,6100.0,,,Africa,AFR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,KHM,2005,69000.0,29000.0,124000.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,IRN,2006,12000.0,8600.0,16000.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,SWZ,2022,4300.0,1900.0,6200.0,,,Africa,AFR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,SUR,2004,130.0,100.0,150.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,HND,2019,3100.0,2400.0,3900.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,SEN,2002,16000.0,10000.0,23000.0,,,Africa,AFR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,KWT,2017,1100.0,970.0,1300.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,PRK,2007,126000.0,110000.0,144000.0,,,South-East Asia,SEAR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,LAO,2009,14000.0,7300.0,24000.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,ECU,2020,7900.0,6100.0,10000.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,PAK,2014,579000.0,370000.0,833000.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,PAN,2023,2600.0,2000.0,3300.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,GRC,2020,440.0,370.0,500.0,,,Europe,EUR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,DJI,2015,3400.0,2600.0,4200.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,ESP,2004,6900.0,5900.0,8000.0,,,Europe,EUR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,DJI,2005,3900.0,3000.0,4900.0,,,Eastern Mediterranean,EMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,ISR,2011,470.0,410.0,550.0,,,Europe,EUR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,CAN,2011,1600.0,1400.0,1900.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,ECU,2000,8600.0,5700.0,12000.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,BEL,2001,1500.0,1300.0,1800.0,,,Europe,EUR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,VUT,2012,160.0,110.0,220.0,,,Western Pacific,WPR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,GRD,2007,4.0,3.0,4.0,,,Americas,AMR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,GNQ,2016,4400.0,2800.0,6400.0,,,Africa,AFR,COUNTRY,2024-10-28T17:07:03.867+01:00
TB_e_inc_num,GHA,2011,46000.0,18000.0,87000.0,,,Africa,AFR,COUNTRY,2024-10-28T17:07:03.867+01:00
